"There is still no universally agreed-on explanation for why there should be such a dramatic cessation of tree growth at the upper timberline. Various environmental factors may play a role. Too much snow, for example, can smother trees, and avalanches and snow creep can damage or destroy them. Late-lying snow reduces the effective growing season to the point where seedlings cannot establish themselves. Wind velocity also increases with altitude and may cause serious stress for trees, as is made evident by the deformed shapes at high altitudes. Some scientists have proposed that the presence of increasing levels of ultraviolet light with elevation may play a role, while browsing and grazing animals like the ibex may be another contributing factor. Probably the most important environmental factor is temperature, for if the growing season is too short and temperatures are too low, tree shoots and buds cannot mature sufficiently to survive the winter months.","Wind velocity also increases with altitude and may cause serious stress for trees, as is made evident by the deformed shapes at high altitudes.","Because of their deformed shapes at high altitudes, trees are not likely to be seriously harmed by the strong winds typical of those altitudes.","As altitude increases, the velocity of winds increase, leading to a serious decrease in the number of trees found at high altitudes.","The deformed shapes of trees at high altitudes show that wind velocity, which increase with altitude, can cause serious hardship for trees.","Increased wind velocity at high altitudes deforms the shapes of trees, and this may cause serious stress for trees.",C
"The extreme seriousness of desertification results from the vast areas of land and the tremendous numbers of people affected, as well as from the great difficulty of reversing or even slowing the process. Once the soil has been removed by erosion, only the passage of centuries or millennia will enable new soil to form. In areas where considerable soil still remains, though, a rigorously enforced program of land protection and cover-crop planting may make it possible to reverse the present deterioration of the surface.

","The extreme seriousness of desertification results from the vast areas of land and the tremendous numbers of people affected, as well as from the great difficulty of reversing or even slowing the process. ",Desertification is a significant problem because it is so hard to reverse and affects large areas of land and great numbers of people.,Slowing down the process of desertification is difficult because of population growth that has spread over large areas of land.,The spread of deserts is considered a very serious problem that can be solved only if large numbers of people in various countries are involved in the effort.,Desertification is extremely hard to reverse unless the population is reduced in the vast areas affected.,A
"Many ecologists now think that the relative long-term stability of climax communities comes not from diversity but from the ""patchiness"" of the environment, an environment that varies from place to place supports more kinds of organisms than an environment that is uniform. A local population that goes extinct is quickly replaced by immigrants from an adjacent community. Even if the new population is of a different species, it can approximately fill the niche vacated by the extinct population and keep the food web intact.","Many ecologists now think that the relative long-term stability of climax communities comes not from diversity but from the ""patchiness"" of the environment, an environment that varies from place to place supports more kinds of organisms than an environment that is uniform.",Ecologists now think that the stability of an environment is a result of diversity rather than patchiness.,Patchy environments that vary from place to place do not often have high species diversity.,Uniform environments cannot be climax communities because they do not support as many types of organisms as patchy environments.,A patchy environment is thought to increase stability because it is able to support a wide variety of organisms.,D
"Only recently have investigators considered using these plants to clean up soil and waste sites that have been contaminated by toxic levels of heavy metals–an environmentally friendly approach known as phytoremediation. This scenario begins with the planting of hyperaccumulating species in the target area, such as an abandoned mine or an irrigation pond contaminated by runoff. Toxic minerals would first be absorbed by roots but later relocated to the stem and leaves. A harvest of the shoots would remove the toxic compounds off site to be burned or composted to recover the metal for industrial uses. After several years of cultivation and harvest, the site would be restored at a cost much lower than the price of excavation and reburial, the standard practice for remediation of contaminated soils. For examples, in field trials, the plant alpine pennycress removed zinc and cadmium from soils near a zinc smelter, and Indian mustard, native to Pakistan and India, has been effective in reducing levels of selenium salts by 50 percent in contaminated soils.","This scenario begins with the planting of hyperaccumulating species in the target area, such as an abandoned mine or an irrigation pond contaminated by runoff.","Before considering phytoremediation, hyperaccumulating species of plants local to the target area must be identified.",The investigation begins with an evaluation of toxic sites in the target area to determine the extent of contamination.,The first step in phytoremediation is the planting of hyperaccumulating plants in the area to be cleaned up.,Mines and irrigation ponds can be kept from becoming contaminated by planting hyperaccumulating species in targeted areas.,C
"With ""climax,"" ""biome,"" ""superorganism,"" and various other technical terms for the association of animals and plants at a given locality being criticized, the term ""ecosystem"" was more and more widely adopted for the whole system of associated organisms together with the physical factors of their environment. Eventually, the energy-transforming role of such a system was emphasized. Ecosystems thus involve the circulation, transformation, and accumulation of energy and matter through the medium of living things and their activities. The ecologist is concerned primarily with the quantities of matter and energy that pass through a given ecosystem, and with the rates at which they do so.","With ""climax,"" ""biome,"" ""superorganism,"" and various other technical terms for the association of animals and plants at a given locality being criticized, the term ""ecosystem"" was more and more widely adopted for the whole system of associated organisms together with the physical factors of their environment. ","Unlike the terms “climax,” “biome,” and “superorganism,” which refer to the particular association of plants and animals at a given location, the term “ecosystem” refers specifically to the physical factors within an environment.","The terms “climax,” “biome,” “superorganism,” and “ecosystem” all refer to the system of plants and animals in an associated environment, but some are more controversial than others.","When the older terms of ecology became too technical, they were replaced by the more popular and more widely used term “ecosystem.”",The term “ecosystem” gradually replaced discredited terms for the combination of a physical environment and the plants and animals living together in it.,D
"Though Hubbell and Johnson were interested in how bee behavior might affect colony distributions, they recognized that the availability of potential nest sites for colonies could also affect distributions. So as one of the first steps in their study, they mapped the distributions of trees suitable for nesting. They found that potential nest trees were distributed randomly through the study area. They also found that the number of potential nest sites was much greater than the number of bee colonies. What did these measurements show the researchers? The number of colonies in the study area was not limited by availability of suitable trees, and a clumped or regular distribution of colonies was not due to an underlying clumped or regular distribution of potential nest sites.","The number of colonies in the study area was not limited by availability of suitable trees, and a clumped or regular distribution of colonies was not due to an underlying clumped or regular distribution of potential nest sites.

",The limited number of colonies was not due to the distribution or availability of potential nesting sites.,There was no lack of suitable trees or potential nesting sites in the study area.,The number of nests was directly related to the number or the distribution of suitable trees.,Neither the number nor the distribution of colonies could be explained by the availability of suitable nest sites.,D
"Why is it that higher latitudes have lower diversities than the tropics? Perhaps it is simply a matter of land area. The tropics contain a larger surface area of land than higher latitudes-a fact that is not always evident when we examine commonly used projections of Earth's curved surface, since this tends to exaggerate the areas of land in the higher latitudes-and some biogeographers regard the differences in diversity as a reflection of this effect. But an analysis of the data by biologist Klaus Rohde does not support this explanation. Although area may contribute to biodiversity, it is certainly not the whole story; otherwise, large landmasses would always be richer in species.","The tropics contain a larger surface area of land than higher latitudes-a fact that is not always evident when we examine commonly used projections of Earth's curved surface, since this tends to exaggerate the areas of land in the higher latitudes-and some biogeographers regard the differences in diversity as a reflection of this effect.",Some biogeographers believe that the tropics have larger surface areas than they actually do because of the distortions produced by projections of Earth’s curved surface.,"High levels of diversity in the tropics are sometimes attributed to the fact that the tropics have more surface area of land than the higher latitudes do, though distortions in commonly used projections may seem to suggest otherwise.","Because biogeographers disagree on whether or not the tropics are correctly represented in projections of Earth’s surface, it is difficult to determine the relationship their surface area has to their diversity.","Most biogeographers agree that the tropics contain a larger surface area of land than higher latitudes do, but they disagree on whether or not the tropics’ level of diversity is a reflection of that larger surface area.",B
"Geographic isolation creates opportunities for new species to develop, but it does not necessarily lead to new species because speciation occurs only when the gene pool undergoes enough changes to establish reproductive barriers between the isolated population and its parent population. The likelihood of allopatric speciation increases when a population is small as well as isolated, making it more likely than a large population to have its gene pool changed substantially. For example, in less than two million years, small populations of stray animals and plants from the South American mainland that managed to colonize the Galapagos Islands gave rise to all the species that now inhabit the islands.","Geographic isolation creates opportunities for new species to develop, but it does not necessarily lead to new species because speciation occurs only when the gene pool undergoes enough changes to establish reproductive barriers between the isolated population and its parent population.",Geographic isolation is sometimes but not always the reason for the creation of reproductive barriers between a parent population and the populations descended from it.,Genetic changes in a geographically isolated population do not necessarily make the population look different enough from its parent population to be considered a new species.,Geographical isolation allows the separated populations to evolve independently of each other and so can lead to the formation of new species.,Geographic isolation can lead to new species only if the gene pool of the isolated population changes enough to prevent it from reproducing with the parent population.,D
"It is usually claimed that species-rich ecosystems tend to be more stable than species-poor ecosystems. Three mechanisms by which higher diversity increases ecosystem stability have been proposed. First, if there are more species in an ecosystem, then its food web will be more complex, with greater redundancy among species in terms of their nutritional roles. In other words, in a rich system if a species is lost, there is a good chance that other species will take over its function as prey, predator, producer, decomposer, or whatever role it played. Second, diverse ecosystems may be less likely to be invaded by new species, notably exotics (foreign species living outside their native range), that would disrupt the ecosystem's structure and function. Third, in a species-rich ecosystem, diseases may spread more slowly because most species will be relatively less abundant, thus increasing the average distance between individuals of the same species and hampering disease transmission among individuals.","Third, in a species-rich ecosystem, diseases may spread more slowly because most species will be relatively less abundant, thus increasing the average distance between individuals of the same species and hampering disease transmission among individuals.","In any ecosystem, as the number of individuals in the same species increases, the rate of disease transmission slows down.","Ecosystems that have a small number of different species tend to be disease-free, because the species’ habitats are at a safe distance from each other.","In ecosystems with many species, diseases spread more slowly because there are fewer individuals in a species and, as a result, the individuals are more widely scattered.","The average distance between individuals in a species-rich ecosystem increases, so diseases are prevented from being communicated between species.",C
"Darwin's theory was that the succession from one coral reef type to another could be achieved by the upward growth of coral from a sinking platform, and that there would be a progression from a fringing reef, through the barrier reef stage until, with the disappearance through subsidence (sinking) of the central island, only a reef-enclosed lagoon or atoll would survive. A long time after Darwin put forward this theory, some deep boreholes were drilled in the Pacific atolls in the 1950s. The drill holes passed through more than a thousand meters of coral before reaching the rock substratum of the ocean floor, and indicated that the coral had been growing upward for tens of millions of years as Earth's crust subsided at a rate of between 15 and 51 meters per million years. Darwin s theory was therefore proved basically correct. There are some submarine islands called guyots and seamounts, in which subsidence associated with sea-floor spreading has been too speedy for coral growth to keep up.","Darwin's theory was that the succession from one coral reef type to another could be achieved by the upward growth of coral from a sinking platform, and that there would be a progression from a fringing reef, through the barrier reef stage until, with the disappearance through subsidence (sinking) of the central island, only a reef-enclosed lagoon or atoll would survive.","Darwin claimed that, of the three types of coral reefs, only an atoll would be able to survive on a sinking platform.",Darwin recognized that coral reefs achieved success by growing upward from a sinking land platform and becoming an atoll.,"Darwin argued that as a coral reef grew up from a sinking island, it would become a fringing reef, then a barrier reef, and finally, with the disappearance of the island, an atoll.",Darwin's theory helped explain the disappearance of a number of islands by showing how coral reef growth caused them to sink below the ocean surface.,C
